B2c gmv,Old_1_vs_New_Rs,,,B2c gmv,Old_2_vs_New_1,,,B2c gmv,Old_3_vs_New_2,,,B2c gmv,priority_4,,,B2c gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
4,73237200.0%,73237200.0%,,4,6488567700.0%,5964178400.0%,,4,90764200.0%,2025371600.0%,,4,2412107100.0%,855410300.0%,,4,413348300.0%,482342800.0%
5,106633700.0%,106633700.0%,,5,6685893500.0%,6515198600.0%,,5,50261300.0%,2037717000.0%,,5,2688380300.0%,825210000.0%,,5,424437300.0%,294897500.0%
6,126861400.0%,126861400.0%,,6,6784101200.0%,6380959100.0%,,6,89674800.0%,2095795200.0%,,6,2463565200.0%,769935800.0%,,6,520644000.0%,282308600.0%
,,,
R burn gmv,Old_1_vs_New_Rs,,,R burn gmv,Old_2_vs_New_1,,,R burn gmv,Old_3_vs_New_2,,,R burn gmv,priority_4,,,R burn gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,16.424605200000002%,16.424605200000002%,,1,17.5693485%,15.9608506%,,1,13.312812399999999%,17.6490975%,,1,14.013989600000002%,14.7470882%,,1,7.2884702%,9.1164479%
2,16.5985642%,16.5985642%,,2,17.8986075%,11.472813799999999%,,2,12.3179758%,17.9182447%,,2,13.038769799999999%,12.1757505%,,2,6.6404043999999995%,7.1967741%
3,11.760177800000001%,11.760177800000001%,,3,18.2897421%,18.2419375%,,3,13.208148%,14.308533500000001%,,3,13.40024%,13.0044837%,,3,14.3824437%,7.352598400000001%
4,7.3158759%,7.3158759%,,4,19.966237200000002%,20.4231455%,,4,15.8207092%,16.186492899999998%,,4,14.677141099999998%,11.2764111%,,4,7.6687035%,9.2634806%
5,7.345979399999999%,7.345979399999999%,,5,20.2999466%,20.573071600000002%,,5,8.2993823%,16.723242799999998%,,5,15.4363628%,12.2824346%,,5,7.8080049%,7.3323823%
6,7.8184864%,7.8184864%,,6,20.6808665%,21.3395388%,,6,13.4729708%,15.7916307%,,6,15.081477500000002%,12.6895969%,,6,8.8716551%,7.0985064%
,,,
R burn per order,Old_1_vs_New_Rs,,,R burn per order,Old_2_vs_New_1,,,R burn per order,Old_3_vs_New_2,,,R burn per order,priority_4,,,R burn per order,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,135148.1302774427%,135148.1302774427%,,1,138276.00268550412%,128425.50790067718%,,1,106137.1186440678%,139434.31516486206%,,1,113301.25026221944%,115126.28361858192%,,1,64759.681931968786%,77652.1526219139%
2,160709.02777777778%,160709.02777777778%,,2,144171.9073697387%,78244.8275862069%,,2,104861.31202691335%,144323.1975691354%,,2,109705.8150117354%,107528.450573647%,,2,60272.706645056736%,65396.82949029126%
3,105257.18432510884%,105257.18432510884%,,3,150137.90288444096%,149373.12954253954%,,3,107166.83070866145%,117949.30041755183%,,3,113851.94214876032%,115663.24073096018%,,3,128306.00728155341%,67842.73162939298%
4,61855.74324324324%,61855.74324324324%,,4,164588.37987976565%,167312.21140628943%,,4,136487.5187969925%,135078.80485527543%,,4,122460.63359902523%,94919.03018197957%,,4,69505.34723389945%,84844.81970096746%
5,61816.637681159424%,61816.637681159424%,,5,167650.28836509527%,171051.9730105805%,,5,67829.01484480432%,139512.32370258798%,,5,130074.52583704276%,103228.67150362772%,,5,70692.4217188541%,62359.3783040812%
6,64266.160081053706%,64266.160081053706%,,6,171397.92324600188%,179351.25920512676%,,6,121346.14343707713%,129674.24823660437%,,6,128518.19082894256%,108076.33352049411%,,6,83543.64569961489%,64601.51029748284%
,,,
Ted,Old_1_vs_New_Rs,,,Ted,Old_2_vs_New_1,,,Ted,Old_3_vs_New_2,,,Ted,priority_4,,,Ted,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,179608100.0%,179608100.0%,,1,6762870800.0%,77951300.0%,,1,200564900.0%,6510675700.0%,,1,3887745300.0%,1630176300.0%,,1,810260600.0%,660404200.0%
2,262779100.0%,262779100.0%,,2,6382888900.0%,17774200.0%,,2,232030700.0%,6510202400.0%,,2,3420581900.0%,1431681100.0%,,2,786503000.0%,905042900.0%
3,349482100.0%,349482100.0%,,3,6847186200.0%,6749593000.0%,,3,166085100.0%,2335220500.0%,,3,3674904800.0%,1641288100.0%,,3,2561962600.0%,812941300.0%
4,278587000.0%,278587000.0%,,4,9383413800.0%,8617901200.0%,,4,125861100.0%,2866405900.0%,,4,3438370800.0%,1308781300.0%,,4,741148100.0%,776836300.0%
5,412421800.0%,412421800.0%,,5,9883393900.0%,9622977300.0%,,5,89653600.0%,2910181000.0%,,5,3929611900.0%,1271828500.0%,,5,746055600.0%,519810200.0%
6,442766600.0%,442766600.0%,,6,9864280700.0%,9230187200.0%,,6,137889700.0%,3141193800.0%,,6,3689334300.0%,1135354000.0%,,6,930134400.0%,545864800.0%
,,,
Ted gmv,Old_1_vs_New_Rs,,,Ted gmv,Old_2_vs_New_1,,,Ted gmv,Old_3_vs_New_2,,,Ted gmv,priority_4,,,Ted gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,26.330329000000003%,26.330329000000003%,,1,25.082910400000003%,21.868771000000002%,,1,21.3194228%,25.2064009%,,1,20.1748232%,21.2731507%,,1,13.4283505%,15.8196648%
2,31.412849100000003%,31.412849100000003%,,2,24.7980233%,17.9736536%,,2,22.923855200000002%,24.8078657%,,2,19.4732694%,18.787032%,,2,14.0439428%,15.1089103%
3,28.3359553%,28.3359553%,,3,25.2198588%,25.1720051%,,3,20.1473765%,20.752154100000002%,,3,19.859136%,19.4926193%,,3,24.8944898%,14.074156400000001%
4,27.8288619%,27.8288619%,,4,28.8740866%,29.5102927%,,4,21.9382958%,22.907923999999998%,,4,20.92173%,17.2529556%,,4,13.7502561%,14.919281400000001%
